ID	Experiment ID	Biosample ID	Bioproject ID	Study ID	Sample Accession	Organism	Library Source	Library Layout	Library Selection	Instrument	Platform	Bases	Spots	Avg Spot Len	Bytes	Public	Alias [sample]	Center Name	Description [sample]	Ena checklist [sample]	Ena-first-public [run]	Ena-first-public [study]	Ena-last-update [run]	Ena-last-update [study]	Insdc center name [sample]	Insdc first public [sample]	Insdc last update [sample]	Insdc status [sample]	Library Name	Name	Sample name [sample]	Sra accession [sample]	Tax ID	Title	Title [sample]
ERR1842996	ERX1904973	SAMEA93316918	PRJEB19491	ERP021536	ERS1562537	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	45474172	90586	502	32048874	True	H_SP_23	UNIVERSITY HOHENHEIM	solid phase hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93316918	ERS1562537	ERS1562537	371813	H_SP_23	Sample
ERR1842997	ERX1904974	SAMEA93317668	PRJEB19491	ERP021536	ERS1562538	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	8045554	16027	502	5543457	True	C_RF_23A	UNIVERSITY HOHENHEIM	rumen fluid corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93317668	ERS1562538	ERS1562538	371813	C_RF_23A	Sample
ERR1842998	ERX1904975	SAMEA93318418	PRJEB19491	ERP021536	ERS1562539	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	5365376	10688	502	3703138	True	C_RF_59A	UNIVERSITY HOHENHEIM	rumen fluid corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93318418	ERS1562539	ERS1562539	371813	C_RF_59A	Sample
ERR1842999	ERX1904976	SAMEA93319168	PRJEB19491	ERP021536	ERS1562540	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	14606192	29096	502	9990345	True	C_RF_28A	UNIVERSITY HOHENHEIM	rumen fluid corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93319168	ERS1562540	ERS1562540	371813	C_RF_28A	Sample
ERR1843000	ERX1904977	SAMEA93319918	PRJEB19491	ERP021536	ERS1562541	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	5471800	10900	502	3787062	True	G_RF_28A	UNIVERSITY HOHENHEIM	rumen fluid grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93319918	ERS1562541	ERS1562541	371813	G_RF_28A	Sample
ERR1843001	ERX1904978	SAMEA93320668	PRJEB19491	ERP021536	ERS1562542	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	5615874	11187	502	3868583	True	G_RF_23A	UNIVERSITY HOHENHEIM	rumen fluid grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93320668	ERS1562542	ERS1562542	371813	G_RF_23A	Sample
ERR1843002	ERX1904979	SAMEA93321418	PRJEB19491	ERP021536	ERS1562543	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	10501840	20920	502	7218429	True	G_RF_59A	UNIVERSITY HOHENHEIM	rumen fluid grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93321418	ERS1562543	ERS1562543	371813	G_RF_59A	Sample
ERR1843003	ERX1904980	SAMEA93322168	PRJEB19491	ERP021536	ERS1562544	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	6304618	12559	502	4422109	True	H_RF_59A	UNIVERSITY HOHENHEIM	rumen fluid hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93322168	ERS1562544	ERS1562544	371813	H_RF_59A	Sample
ERR1843004	ERX1904981	SAMEA93322918	PRJEB19491	ERP021536	ERS1562545	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	6606822	13161	502	4560991	True	H_RF_28A	UNIVERSITY HOHENHEIM	rumen fluid hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93322918	ERS1562545	ERS1562545	371813	H_RF_28A	Sample
ERR1843005	ERX1904982	SAMEA93323668	PRJEB19491	ERP021536	ERS1562546	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	4025538	8019	502	2792002	True	H_RF_23A	UNIVERSITY HOHENHEIM	rumen fluid hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93323668	ERS1562546	ERS1562546	371813	H_RF_23A	Sample
ERR1843006	ERX1904983	SAMEA93324418	PRJEB19491	ERP021536	ERS1562547	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	5227828	10414	502	3635048	True	C_LP_23A	UNIVERSITY HOHENHEIM	liquid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93324418	ERS1562547	ERS1562547	371813	C_LP_23A	Sample
ERR1843007	ERX1904984	SAMEA93325168	PRJEB19491	ERP021536	ERS1562548	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	5270498	10499	502	3635207	True	C_LP_59A	UNIVERSITY HOHENHEIM	liquid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93325168	ERS1562548	ERS1562548	371813	C_LP_59A	Sample
ERR1843008	ERX1904985	SAMEA93325918	PRJEB19491	ERP021536	ERS1562549	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	10916994	21747	502	7495973	True	C_LP_28A	UNIVERSITY HOHENHEIM	liquid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93325918	ERS1562549	ERS1562549	371813	C_LP_28A	Sample
ERR1843009	ERX1904986	SAMEA93326668	PRJEB19491	ERP021536	ERS1562550	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	13064048	26024	502	8975525	True	G_LP_28A	UNIVERSITY HOHENHEIM	liquid phase grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93326668	ERS1562550	ERS1562550	371813	G_LP_28A	Sample
ERR1843010	ERX1904987	SAMEA93327418	PRJEB19491	ERP021536	ERS1562551	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	12932524	25762	502	8839997	True	G_LP_23A	UNIVERSITY HOHENHEIM	liquid phase grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93327418	ERS1562551	ERS1562551	371813	G_LP_23A	Sample
ERR1843011	ERX1904988	SAMEA93328168	PRJEB19491	ERP021536	ERS1562552	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	29077848	57924	502	20016311	True	G_LP_59A	UNIVERSITY HOHENHEIM	liquid phase grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93328168	ERS1562552	ERS1562552	371813	G_LP_59A	Sample
ERR1843012	ERX1904989	SAMEA93328918	PRJEB19491	ERP021536	ERS1562553	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	13221676	26338	502	9060618	True	H_LP_59A	UNIVERSITY HOHENHEIM	liquid phase hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93328918	ERS1562553	ERS1562553	371813	H_LP_59A	Sample
ERR1843013	ERX1904990	SAMEA93329668	PRJEB19491	ERP021536	ERS1562554	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	8909998	17749	502	6155789	True	H_LP_28A	UNIVERSITY HOHENHEIM	liquid phase hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93329668	ERS1562554	ERS1562554	371813	H_LP_28A	Sample
ERR1843014	ERX1904991	SAMEA93330418	PRJEB19491	ERP021536	ERS1562555	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	17539378	34939	502	12107934	True	H_LP_23A	UNIVERSITY HOHENHEIM	liquid phase hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93330418	ERS1562555	ERS1562555	371813	H_LP_23A	Sample
ERR1843015	ERX1904992	SAMEA93331168	PRJEB19491	ERP021536	ERS1562556	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	19622678	39089	502	13415726	True	C_SP_23A	UNIVERSITY HOHENHEIM	solid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93331168	ERS1562556	ERS1562556	371813	C_SP_23A	Sample
ERR1843016	ERX1904993	SAMEA93331918	PRJEB19491	ERP021536	ERS1562557	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	26633108	53054	502	18347728	True	C_SP_59A	UNIVERSITY HOHENHEIM	solid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93331918	ERS1562557	ERS1562557	371813	C_SP_59A	Sample
ERR1843017	ERX1904994	SAMEA93332668	PRJEB19491	ERP021536	ERS1562558	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	17646806	35153	502	12012601	True	C_SP_28A	UNIVERSITY HOHENHEIM	solid phase corn	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93332668	ERS1562558	ERS1562558	371813	C_SP_28A	Sample
ERR1843018	ERX1904995	SAMEA93333418	PRJEB19491	ERP021536	ERS1562559	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	22535282	44891	502	15345273	True	G_SP_28A	UNIVERSITY HOHENHEIM	solid phase grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93333418	ERS1562559	ERS1562559	371813	G_SP_28A	Sample
ERR1843019	ERX1904996	SAMEA93334168	PRJEB19491	ERP021536	ERS1562560	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	27908690	55595	502	19082198	True	G_SP_23A	UNIVERSITY HOHENHEIM	solid phase grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93334168	ERS1562560	ERS1562560	371813	G_SP_23A	Sample
ERR1843020	ERX1904997	SAMEA93334918	PRJEB19491	ERP021536	ERS1562561	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	30713866	61183	502	20851034	True	G_SP_59A	UNIVERSITY HOHENHEIM	solid phase grass	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93334918	ERS1562561	ERS1562561	371813	G_SP_59A	Sample
ERR1843021	ERX1904998	SAMEA93335668	PRJEB19491	ERP021536	ERS1562562	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	28415208	56604	502	19363646	True	H_SP_59A	UNIVERSITY HOHENHEIM	solid phase hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93335668	ERS1562562	ERS1562562	371813	H_SP_59A	Sample
ERR1843022	ERX1904999	SAMEA93336418	PRJEB19491	ERP021536	ERS1562563	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	13399886	26693	502	9145298	True	H_SP_28A	UNIVERSITY HOHENHEIM	solid phase hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93336418	ERS1562563	ERS1562563	371813	H_SP_28A	Sample
ERR1843023	ERX1905000	SAMEA93337168	PRJEB19491	ERP021536	ERS1562564	rumen bacterium 1/9293-11A	GENOMIC	PAIRED	PCR	Illumina MiSeq	ILLUMINA	15504772	30886	502	10556347	True	H_SP_23A	UNIVERSITY HOHENHEIM	solid phase hay	ERC000011	2017-10-04	2017-10-04	2018-11-16	2017-09-10	UNIVERSITY HOHENHEIM	2017-10-04T17:02:10Z	2017-02-17T09:57:14Z	public	unspecified	SAMEA93337168	ERS1562564	ERS1562564	371813	H_SP_23A	Sample
